模板编号,特征ID,特征名称,组成面,特征面,面类型,侧壁特征,余量,工序阶段,工艺类型
P001,0,矩形凸台,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P002,0,矩形凸台,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P003,0,矩形凸台,T2orT3orT4orT5,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P004,0,矩形凸台,T2orT3orT4orT5,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P005,0,矩形凸台,T1,平面,plane,是,,粗加工,
P006,0,矩形凸台,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P007,0,矩形凸台,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P008,0,矩形凸台,T2orT3orT4orT5,垂直面,plane,是,,粗加工,
P009,0,矩形凸台,T2orT3orT4orT5,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P010,0,矩形凸台,T2orT3orT4orT5,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P011,1,圆柱凸台,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P012,1,圆柱凸台,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P013,1,圆柱凸台,T2,垂直面,cylindrical,否,大于0.0,半精加工,平面轮廓铣
P014,1,圆柱凸台,T2,垂直面,cylindrical,否,小于等于0.0,精加工,平面轮廓铣
P015,1,圆柱凸台,T1,平面,plane,是,,粗加工,
P016,1,圆柱凸台,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P017,1,圆柱凸台,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P018,1,圆柱凸台,T2,垂直面,cylindrical,是,,粗加工,
P019,1,圆柱凸台,T2,垂直面,cylindrical,是,大于0.0,半精加工,平面轮廓铣
P020,1,圆柱凸台,T2,垂直面,cylindrical,是,小于等于0.0,精加工,平面轮廓铣
P021,2,圆柱通孔,T1,垂直面,cylindrical,是,,粗加工,
P022,2,圆柱通孔,T1,垂直面,cylindrical,是,大于0.0,半精加工,平面轮廓铣
P023,2,圆柱通孔,T1,垂直面,cylindrical,是,小于等于0.0,精加工,平面轮廓铣
P024,2,圆柱通孔,T1,垂直面,cylindrical,否,大于0.0,半精加工,平面轮廓铣
P025,2,圆柱通孔,T1,垂直面,cylindrical,否,小于等于0.0,精加工,平面轮廓铣
P026,3,矩形通孔,T1orT2orT3orT4,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P027,3,矩形通孔,T1orT2orT3orT4,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P028,3,矩形通孔,T1orT2orT3orT4,垂直面,plane,否,,清根,
P029,3,矩形通孔,T1orT2orT3orT4,垂直面,plane,是,,粗加工,
P030,3,矩形通孔,T1orT2orT3orT4,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P031,3,矩形通孔,T1orT2orT3orT4,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P032,3,矩形通孔,T1orT2orT3orT4,垂直面,plane,是,,清根,
P033,4,三角形通孔,T1orT2orT3,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P034,4,三角形通孔,T1orT2orT3,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P035,4,三角形通孔,T1orT2orT3,垂直面,plane,否,,清根,
P036,4,三角形通孔,T1orT2orT3,垂直面,plane,是,,粗加工,
P037,4,三角形通孔,T1orT2orT3,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P038,4,三角形通孔,T1orT2orT3,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P039,4,三角形通孔,T1orT2orT3,垂直面,plane,是,,清根,
P040,5,正六边形通孔,T1orT2orT3orT4orT5orT6,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P041,5,正六边形通孔,T1orT2orT3orT4orT5orT6,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P042,5,正六边形通孔,T1orT2orT3orT4orT5orT6,垂直面,plane,否,,清根,
P043,5,正六边形通孔,T1orT2orT3orT4orT5orT7,垂直面,plane,是,,粗加工,
P044,5,正六边形通孔,T1orT2orT3orT4orT5orT8,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P045,5,正六边形通孔,T1orT2orT3orT4orT5orT9,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P046,5,正六边形通孔,T1orT2orT3orT4orT5orT10,垂直面,plane,是,,清根,
P047,6,V形通槽,T1orT2,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P048,6,V形通槽,T1orT2,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P049,6,V形通槽,T1orT2,垂直面,plane,否,,清根,
P050,6,V形通槽,T1orT2,垂直面,plane,是,,粗加工,
P051,6,V形通槽,T1orT2,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P052,6,V形通槽,T1orT2,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P053,6,V形通槽,T1orT2,垂直面,plane,是,,清根,
P054,7,圆形通槽,T1,曲面,cylindrical,否,大于0.0,半精加工,曲面轮廓铣
P055,7,圆形通槽,T1,曲面,cylindrical,否,小于等于0.0,精加工,曲面轮廓铣
P056,7,圆形通槽,T1,曲面,cylindrical,是,,粗加工,曲面轮廓铣
P057,7,圆形通槽,T1,曲面,cylindrical,是,大于0.0,半精加工,曲面轮廓铣
P058,7,圆形通槽,T1,曲面,cylindrical,是,小于等于0.0,精加工,曲面轮廓铣
P059,8,矩形通槽,T2orT3,平面,plane,是,,粗加工,
P060,8,矩形通槽,T2orT3,平面,plane,是,大于0.0,半精加工,底壁铣
P061,8,矩形通槽,T2orT3,平面,plane,是,小于等于0.0,精加工,底壁铣
P062,8,矩形通槽,T1,垂直面,plane,是,,粗加工,
P063,8,矩形通槽,T1,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P064,8,矩形通槽,T1,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P065,8,矩形通槽,T2orT3,平面,plane,否,大于0.0,半精加工,底壁铣
P066,8,矩形通槽,T2orT3,平面,plane,否,小于等于0.0,精加工,底壁铣
P067,8,矩形通槽,T1,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P068,8,矩形通槽,T1,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P069,9,矩形通槽,T2orT3,平面,plane,是,,粗加工,
